'barcode';'name';'volume';'quantity'
"7804604720134";"Lider Agua Mineral El Olivo Con gas";"1600";"1"
"7801610022122";"Coca-Cola Light";"350";"1"
"7801620290191";"BILZ 6PF-PET 2000";"2000";"1"
"7801620015817";"Cachantun Sin Gas";"500";"1"
"7801610022122";"Coca-Cola Light";"350";"1"
"7801610001196";"COCA COLA";"350";"1"
"7801610001622";"Coca-Cola Original";"1500";"1"
"7802130000263";"Stella Artois Premium Lager Beer";"354";"1"
"7801610022122";"Coca-Cola Light";"350";"1"
"7801620007027";"Cachantun Mas sin Gas Limon Menta";"500";"1"
"7801610002193";"Fanta";"350";"1"
"7801610001196";"COCA COLA";"350";"1"
"7801610001196";"COCA COLA";"350";"1"
"7801610022122";"Coca-Cola Light";"350";"1"
"7801610001196";"COCA COLA";"350";"1"
"7801620002367";"MAS CACHANTUN 12PF-PET 500";"500";"1"
"7801620290191";"BILZ 6PF-PET 2000";"2000";"1"
"7801610350157";"Coca-Cola Zero";"250";"1"
"7801620005306";"KEM ZERO 6PF-PET 1500";"1500";"1"
"7802820851021";"Powerade Frozen Blast PT 1Lt*6";"1000";"1"
"7802820441512";"Benedictino PT 1.5 Lt*6 S/G";"1500";"1"
"7801620015817";"Cachantun Sin Gas";"500";"1"
"7801610022726";"Coca-Cola Light";"1500";"1"
"7801620330217";"CRUSH 6PF-PET 1500";"1500";"1"
"7802820600209";"Vital de Chanqueahue mineral sin gas";"600";"1"
"7802820600100";"VITAL CON GAS";"600";"1"
"7801620855017";"CACHANTUN C/GAS 6PFX4-PET 250";"250";"1"
"7801610350157";"Coca-Cola Zero";"250";"1"
"7802820500035";"Andina del Valle Nectar Durazno";"1500";"1"
"7801620011611";"WATT'S DURAZNO 6PF-PET 1500";"1500";"1"
"7801620001902";"WATT'S MANZANA 6PF-PET 1500";"1500";"1"
"7801620504175";"CACHANTUN CGAS PET 2250";"2000";"1"
"7801620290160";"BILZ 6PF-PET 1500";"1500";"1"
"7802100505323";"CRISTAL 6PFX4-LAT470CCPROMOCIÓN";"470";"1"
"7801620855215";"7UP 12PF-PET 500";"500";"1"
"7802100430038";"ROYAL GUARD 12PKX2-LATA350CC";"350";"1"
"7801610350409";"COCA COLA ZERO";"1500";"1"
"7801620855253";"PEPSI 6PFX4-PET 250";"250";"1"
"7801620003500";"WATT'S TUTIARANDANO 6P-PET 1.5";"1500";"1"
"7801620001711";"KEM XTREME 12PF-PET 500";"500";"1"
"7801620015800";"CACHANTUN C/GAS 12PF-PET 500";"500";"1"
"7801620016067";"BILZ 6PFX4-PET 250";"250";"1"
"7801620005856";"Cachantun Mas sin Gas Granada";"500";"2"
"7802820700435";"Andina Frut Manzana Pet 1,5  x 6";"1500";"1"
"7801620000738";"WATT'S DURAZNO LGH 6PF-PET 1.5";"1500";"1"
"7802820500035";"Andina del Valle Nectar Durazno";"1500";"1"
"7801620001902";"WATT'S MANZANA 6PF-PET 1500";"1500";"1"
"7801620004408";"Canada Dry Ginger Ale Light";"310";"1"
"7802820500035";"Andina del Valle Nectar Durazno";"1500";"1"
"7802820500035";"Andina del Valle Nectar Durazno";"1500";"1"
"7801610001196";"COCA COLA";"350";"1"
"7802820700251";"Andina Frut Piña Pet 1,5  x 6";"1500";"1"
"7801610022726";"Coca-Cola Light";"1500";"1"
"7801620011611";"WATT'S DURAZNO 6PF-PET 1500";"1500";"1"
"7801610481530";"Aquarius Limonada Low Cal PT1.5 X6";"1500";"1"
"7801620006624";"Cachantun Mas sin Gas Manzana";"1600";"1"
"7801610481523";"AQUARIUS UVA PT1.5 X6 LOW CAL";"1500";"1"
"7801610005262";"Sprite PT1.5 x6";"1500";"1"
"7801620004057";"GINGER ALE LIGHT 12PF-PET 500";"500";"1"
"7801620853396";"WATT'S NARANJA LIGHT 6P-PET1.5";"1500";"1"
"7801610481035";"Aquarius Limonada Low Cal PT500 X6";"500";"1"
"7801620340186";"LIMON SODA 6PF-PET 1500";"1500";"1"
"7801620001841";"WATT'S TUTIFRUTILLA 6PF-PET1.5";"1500";"1"
"7801620016074";"PAP PET 250 X 24";"250";"1"
"7801620001711";"KEM XTREME 12PF-PET 500";"500";"1"
"7802820500035";"Andina del Valle Nectar Durazno";"1500";"1"
"7801620360214";"GINGER ALE 6PF-PET 2000";"2000";"1"
"7801620015817";"Cachantun Sin Gas";"500";"1"
"7801610001622";"Coca-Cola Original";"1500";"2"
"7801620855307";"7UP 6PF X 4-PET 250";"250";"1"
"7802130000263";"Stella Artois Premium Lager Beer";"354";"1"
"7801620011604";"Whatt´s Nectar de Fruta Naranja";"1500";"1"
"7801610000601";"COCA COLA ZERO";"591";"1"
"7802820600209";"Vital de Chanqueahue mineral sin gas";"600";"1"
"7801620006624";"Cachantun Mas sin Gas Manzana";"1600";"1"
"7801620004873";"MAS CATUN MANZ S/G 12PF-PET500";"500";"1"
"7801620015800";"CACHANTUN C/GAS 12PF-PET 500";"500";"1"
"7801610000595";"COCA COLA LIGHT";"591";"3"
